Pair,Date,M1_Additions,M2_Additions,M1_deletions,M2_deletions,Member_1,Member_2,Total
35,2020-05-28,67.0,0.0,22.0,0.0,89.0,0.0,89.0
35,2020-05-25,36.0,0.0,2.0,0.0,38.0,0.0,38.0
35,2020-05-19,59.0,0.0,0.0,0.0,59.0,0.0,59.0
35,2020-05-26,63.0,16.0,4.0,6.0,67.0,22.0,89.0
36,2020-06-09,175.0,50.0,80.0,21.0,255.0,71.0,326.0
36,2020-05-20,52.0,0.0,3.0,0.0,55.0,0.0,55.0
36,2020-05-22,16.0,35.0,4.0,0.0,20.0,35.0,55.0
36,2020-05-26,64.0,36.0,37.0,37.0,101.0,73.0,174.0
36,2020-05-28,48.0,13.0,13.0,19.0,61.0,32.0,93.0
36,2020-06-01,69.0,0.0,25.0,0.0,94.0,0.0,94.0
36,2020-06-02,0.0,173.0,0.0,79.0,0.0,252.0,252.0
36,2020-06-03,184.0,119.0,91.0,105.0,275.0,224.0,499.0
36,2020-06-04,26.0,0.0,12.0,0.0,38.0,0.0,38.0
36,2020-06-10,111.0,19.0,76.0,7.0,187.0,26.0,213.0
38,2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-05-26,55.0,0.0,0.0,0.0,55.0,0.0,55.0
38,2020-06-01,3.0,0.0,3.0,0.0,6.0,0.0,6.0
38,2020-06-13,0.0,5.0,0.0,2.0,0.0,7.0,7.0
38,2020-06-02,0.0,40.0,0.0,0.0,0.0,40.0,40.0
38,2020-06-11,116.0,95.0,29.0,12.0,145.0,107.0,252.0
38,2020-06-12,22.0,0.0,10.0,0.0,32.0,0.0,32.0
38,2020-06-14,35.0,0.0,26.0,0.0,61.0,0.0,61.0
38,2020-06-03,64.0,94.0,10.0,21.0,74.0,115.0,189.0
40,2020-05-16,191.0,0.0,0.0,0.0,191.0,0.0,191.0
40,2020-06-14,0.0,13.0,0.0,2.0,0.0,15.0,15.0
40,2020-05-27,70.0,0.0,34.0,0.0,104.0,0.0,104.0
40,2020-05-26,92.0,0.0,80.0,0.0,172.0,0.0,172.0
40,2020-05-25,4.0,4.0,4.0,3.0,8.0,7.0,15.0
40,2020-05-20,0.0,34.0,0.0,18.0,0.0,52.0,52.0
40,2020-06-04,46.0,0.0,26.0,0.0,72.0,0.0,72.0
40,2020-06-05,9.0,0.0,4.0,0.0,13.0,0.0,13.0
40,2020-06-09,34.0,10.0,43.0,8.0,77.0,18.0,95.0
40,2020-06-10,1.0,9.0,16.0,19.0,17.0,28.0,45.0
40,2020-06-12,39.0,0.0,9.0,0.0,48.0,0.0,48.0
40,2020-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-05-19,77.0,0.0,29.0,0.0,106.0,0.0,106.0
